zip,surge_cat1_share,surge_cat3_share
02301,0,0
02302,0,0
02322,0,0
02324,0.000366,0.000548
02325,0,0
02330,0,0
02332,0.0834,0.123
02333,0,0.000143
02338,0,0
02339,0.00475,0.00507
02341,0,0
02343,0,0
02346,0.000107,0.000357
02347,0,0
02350,0,0
02351,0,0
02356,0,0
02357,0,0
02359,0.0536,0.0556
02360,0.00834,0.0224
02364,0.0173,0.0352
02366,0,0
02367,0,0
02368,0,0
02370,0,0
02375,0,0
02379,0,0
02382,0,0
02420,0,0
02421,0,0
02445,0.00751,0.0375
02446,0.021,0.118
02451,0,0
02452,0,0
02453,0,0.0143
02457,0,0
02458,0.0112,0.0748
02459,0,0
02460,0,0.0363
02461,0,0
02462,0,0
02464,0,0
02465,0,0.00342
02466,0,0
02467,0,0
02468,0,0
02472,0.0213,0.12
02474,0.101,0.244
02476,0.00117,0.0153
02478,0.0148,0.0959
02481,0,0
02482,0,0
02492,0,0
02493,0,0
02494,0,0
02532,0.156,0.302
02534,0.1,0.224
02535,0.111,0.177
02536,0.0693,0.153
02537,0.113,0.186
02538,0.0596,0.337
02539,0.166,0.307
02540,0.173,0.351
02542,0,0
02543,0.116,0.224
02553,0.476,0.889
02554,0.148,0.248
02556,0.183,0.406
02557,0.234,0.39
02558,0.607,0.95
02559,0.165,0.285
02561,0.00298,0.0626
02562,0.155,0.31
02563,0.0373,0.0772
02564,0.055,0.191
02568,0.0458,0.0764
02571,0.242,0.537
02575,0.0388,0.0953
02576,0.066,0.224
02584,0,0
02601,0.0627,0.12
02630,0.0507,0.127
02631,0.0283,0.0534
02632,0.106,0.163
02633,0.149,0.224
02635,0.102,0.22
02637,0.0673,0.17
02638,0.171,0.261
02639,0.363,0.77
02641,0.119,0.267
02642,0.16,0.219
02643,0.526,0.628
02644,0,0
02645,0.0257,0.0606
02646,0.334,0.643
02647,0.385,0.511
02648,0.0119,0.0206
02649,0.0911,0.168
02650,0.0762,0.176
02652,0.109,0.16
02653,0.0806,0.148
02655,0.216,0.398
02657,0.2,0.393
02659,0.0937,0.13
02660,0.0718,0.146
02663,0.128,0.202
02664,0.107,0.373
02666,0.0715,0.109
02667,0.139,0.207
02668,0.0436,0.168
02670,0.563,0.833
02671,0.488,0.831
02672,0.296,0.472
02673,0.225,0.468
02675,0.108,0.188
02702,0.0309,0.0672
02703,0,0
02713,0.121,0.229
02715,0.0676,0.128
02717,0,0
02718,0.00384,0.0132
02719,0.226,0.38
02720,0.016,0.036
02721,0.0209,0.0375
02723,0,0
02724,0.0247,0.0371
02725,0.0865,0.223
02726,0.0528,0.114
02738,0.254,0.549
02739,0.128,0.306
02740,0.0427,0.175
02743,0.00535,0.0739
02744,0.272,0.568
02745,0.00429,0.0257
02746,0.0104,0.102
02747,0,0.000121
02748,0.195,0.299
02760,0,0
02762,0,0
02763,0,0
02764,0.00748,0.0451
02766,0,0
02767,0.00828,0.0217
02769,0.0212,0.0716
02770,0.00382,0.0589
02771,0.0187,0.0605
02777,0.0704,0.152
02779,0.0519,0.115
02780,0.0188,0.0499
02790,0.0659,0.102
02791,0.32,0.444
02802,0,0
02804,0,0
02806,0.378,0.711
02807,0.0843,0.141
02808,0,0
02809,0.0888,0.177
02812,0,0
02813,0.0751,0.109
02814,0,0
02815,0,0
02816,0,0
02817,0,0
02818,0.0158,0.0428
02822,0,0
02823,0,0
02824,0,0
02825,0,0
02826,0,0
02827,0,0
02828,0,0
02829,0,0
02830,0,0
02831,0,0
02832,0,0
02833,0,0
02835,0.0665,0.134
02836,0,0
02837,0.057,0.113
02838,0,0
02839,0,0
02840,0.14,0.251
02841,0.274,0.468
02842,0.0299,0.0521
02852,0.0848,0.185
02857,0,0
02858,0,0
02859,0,0
02860,0.0125,0.0324
02861,0,0
02863,0,0.00207
02864,0,0.00028
02865,0,0
02871,0.0794,0.137
02872,0.152,0.265
02873,0,0
02874,0.0175,0.0569
02875,0,0
02876,0,0
02878,0.0478,0.0686
02879,0.0583,0.103
02881,0,0
02882,0.158,0.271
02885,0.282,0.48
02886,0.0194,0.0799
02888,0.0449,0.135
02889,0.147,0.38
02891,0.0837,0.136
02892,0,0
02893,0,0
02894,0,0
02895,0,0
02896,0,0
02898,0,0
02903,0.0353,0.479
02904,0,0.00382
02905,0.141,0.265
02906,0.0183,0.0534
02907,0,0
02908,0,0.0494
02909,0,0.0505
02910,0.018,0.113
02911,0,0
02912,0,0
02914,0.0499,0.168
02915,0.0942,0.219
02916,0.0242,0.128
02917,0,0
02918,0,0
02919,0,0
02920,0.00304,0.018
02921,0,0
03031,0,0
03032,0,0
03033,0,0
03034,0,0
03036,0,0
03037,0,0
03038,0,0
03042,0,0
03043,0,0
03044,0,0
03045,0,0
03046,0,0
03047,0,0
03048,0,0
03049,0,0
03051,0,0
03052,0,0
03053,0,0
03054,0,0
03055,0,0
03057,0,0
03060,0,0
03062,0,0
03063,0,0
03064,0,0
03070,0,0
03071,0,0
03076,0,0
03077,0,0
03079,0,0
03082,0,0
03084,0,0
03086,0,0
03087,0,0
03101,0,0
03102,0,0
03103,0,0
03104,0,0
03106,0,0
03109,0,0
03110,0,0
03215,0,0
03216,0,0
03217,0,0
03218,0,0
03220,0,0
03221,0,0
03222,0,0
03223,0,0
03224,0,0
03225,0,0
03226,0,0
03227,0,0
03229,0,0
03230,0,0
03231,0,0
03233,0,0
03234,0,0
03235,0,0
03237,0,0
03238,0,0
03240,0,0
03241,0,0
03242,0,0
03243,0,0
03244,0,0
03245,0,0
03246,0,0
03249,0,0
03251,0,0
03253,0,0
03254,0,0
03255,0,0
03256,0,0
03257,0,0
03258,0,0
03259,0,0
03260,0,0
03261,0,0
03262,0,0
03263,0,0
03264,0,0
03266,0,0
03268,0,0
03269,0,0
03273,0,0
03275,0,0
03276,0,0
03278,0,0
03279,0,0
03280,0,0
03281,0,0
03282,0,0
03284,0,0
03285,0,0
03287,0,0
03290,0,0
03291,0,0
03293,0,0
03301,0,0
03303,0,0
03304,0,0
03307,0,0
03431,0,0
03440,0,0
03441,0,0
03442,0,0
03443,0,0
03444,0,0
03445,0,0
03446,0,0
03447,0,0
03448,0,0
03449,0,0
03450,0,0
03451,0,0
03452,0,0
03455,0,0
03456,0,0
03457,0,0
03458,0,0
03461,0,0
03462,0,0
03464,0,0
03465,0,0
03466,0,0
03467,0,0
03470,0,0
03561,0,0
03570,0,0
03574,0,0
03575,0,0
03576,0,0
03579,0,0
03580,0,0
03581,0,0
03582,0,0
03583,0,0
03584,0,0
03585,0,0
03586,0,0
03588,0,0
03590,0,0
03592,0,0
03593,0,0
03595,0,0
03597,0,0
03598,0,0
03601,0,0
03602,0,0
03603,0,0
03604,0,0
03605,0,0
03607,0,0
03608,0,0
03609,0,0
03740,0,0
03741,0,0
03743,0,0
03745,0,0
03748,0,0
03750,0,0
03751,0,0
03752,0,0
03753,0,0
03755,0,0
03765,0,0
03766,0,0
03768,0,0
03770,0,0
03771,0,0
03773,0,0
03774,0,0
03777,0,0
03779,0,0
03780,0,0
03781,0,0
03782,0,0
03784,0,0
03785,0,0
03801,0.0239,0.0562
03809,0,0
03810,0,0
03811,0,0
03812,0,0
03813,0,0
03814,0,0
03816,0,0
03817,0,0
03818,0,0
03819,0,0
03820,0.0147,0.0418
03823,0.000416,0.00374
03824,0.0133,0.0356
03825,0,0
03826,0,0
03827,0,0
03830,0,0
03832,0,0
03833,0.00225,0.0028
03835,0,0
03836,0,0
03837,0,0
03838,0,0
03839,0,0
03840,0.052,0.0934
03841,0,0
03842,0.228,0.324
03844,0.112,0.149
03845,0,0
03846,0,0
03847,0,0
03848,0,0
03849,0,0
03850,0,0
03851,0,0
03852,0,0
03853,0,0
03854,0.0959,0.27
03855,0,0
03856,0.0328,0.0581
03857,0.0329,0.0542
03858,0,0
03860,0,0
03861,0,0
03862,0.0282,0.0565
03864,0,0
03865,0,0
03867,0,0
03868,0,0
03869,0.00289,0.0105
03870,0.145,0.238
03871,0.00437,0.166
03872,0,0
03873,0,0
03874,0.238,0.315
03875,0,0
03878,0,0
03882,0,0
03883,0,0
03884,0,0
03885,0.0476,0.0796
03886,0,0
03887,0,0
03890,0,0
