zip,nearest_nuclear_km,tri_within_5km,dams_high_within_10km_naming_town,strategic_km,strategic_bearing,strategic_site
01201,142.8,0,2,,,
01220,165.7,2,0,,,
01222,102.7,2,0,,,
01223,134.4,0,0,,,
01224,150.6,4,0,,,
01225,158.5,0,0,,,
01226,149.9,4,0,,,
01229,123.7,0,0,,,
01230,113.1,0,0,,,
01235,144.5,0,0,,,
01236,121.1,0,0,,,
01237,153.3,0,0,,,
01238,129.2,0,2,,,
01240,136.1,0,2,,,
01242,131.8,0,0,,,
01243,138.6,0,0,,,
01244,109.5,0,0,,,
01245,119.3,0,0,,,
01247,172,1,0,,,
01253,125.3,0,0,,,
01254,132.8,1,0,,,
01255,115.2,0,0,,,
01256,159.2,0,0,,,
01257,102.8,0,0,,,
01258,99.6,0,0,,,
01259,107.2,0,0,,,
01260,123.7,1,0,,,
01262,126.8,1,0,,,
01264,124.2,0,0,,,
01266,124.9,0,0,,,
01267,166.4,0,1,,,
01270,153,0,0,,,
01301,146.3,1,0,,,
01330,144.3,0,0,,,
01331,114.9,2,3,,,
01337,143.3,1,0,,,
01338,150.3,0,0,,,
01339,156.3,0,0,,,
01340,155.4,0,0,,,
01341,140.2,0,0,,,
01342,141.9,0,0,,,
01343,162.8,0,0,,,
01344,132.6,0,0,,,
01346,158.8,0,0,,,
01347,140.7,3,0,,,
01349,137.3,0,0,,,
01350,171.4,0,0,,,
01351,139.8,0,0,,,
01354,138.9,3,0,,,
01355,128.4,0,0,,,
01360,133.3,0,1,,,
01364,122.3,3,0,,,
01366,117.9,0,0,,,
01367,165.8,0,0,,,
01368,111.7,0,0,,,
01370,149.9,0,0,,,
01373,134.7,2,0,,,
01375,132.4,0,0,,,
01376,142.7,4,1,,,
01378,124.1,0,0,,,
01379,133.1,0,0,,,
01380,131.8,0,0,,,
01420,86.4,3,6,144,133,cape_cod_sfs
01430,91,0,0,,,
01431,84.1,0,0,,,
01432,69.9,2,0,128,138,cape_cod_sfs
01434,74.7,3,0,128,136,cape_cod_sfs
01436,106.4,1,0,,,
01438,104,1,0,,,
01440,99.1,1,3,,,
01450,66.6,0,1,132,140,cape_cod_sfs
01451,73.5,1,0,123,136,cape_cod_sfs
01452,104.4,0,0,149,126,cape_cod_sfs
01453,85.8,7,6,136,132,cape_cod_sfs
01460,66.2,2,0,121,140,cape_cod_sfs
01462,79.4,3,2,138,135,cape_cod_sfs
01463,66.6,1,0,139,141,cape_cod_sfs
01464,74.1,1,0,133,137,cape_cod_sfs
01468,107.2,0,0,,,
01469,73.8,0,0,143,138,cape_cod_sfs
01473,94.4,3,0,147,130,cape_cod_sfs
01474,77.6,0,0,147,137,cape_cod_sfs
01475,101.8,0,3,,,
01501,102.3,1,0,121,117,cape_cod_sfs
01503,86,2,0,118,130,cape_cod_sfs
01504,96.8,1,0,90,114,cape_cod_sfs
01505,93.2,0,0,121,127,cape_cod_sfs
01506,96.9,1,0,140,112,cape_cod_sfs
01507,93,2,0,127,112,cape_cod_sfs
01510,87.6,1,2,123,130,cape_cod_sfs
01515,100.6,1,0,136,114,cape_cod_sfs
01516,89.5,0,0,107,111,cape_cod_sfs
01518,88.8,1,0,138,109,cape_cod_sfs
01519,103.1,1,0,109,120,cape_cod_sfs
01520,103.5,2,0,129,123,cape_cod_sfs
01521,81.9,0,1,141,105,cape_cod_sfs
01522,101.6,3,0,133,124,cape_cod_sfs
01523,81.9,1,0,128,133,cape_cod_sfs
01524,106,2,0,129,118,cape_cod_sfs
01525,97.9,2,0,101,116,cape_cod_sfs
01527,103.2,2,0,116,118,cape_cod_sfs
01529,94.4,2,0,93,113,cape_cod_sfs
01531,112.9,0,0,148,117,cape_cod_sfs
01532,91.4,2,2,114,127,cape_cod_sfs
01534,101.8,1,0,103,118,cape_cod_sfs
01535,106.8,1,0,141,116,cape_cod_sfs
01536,101.5,1,0,112,121,cape_cod_sfs
01537,97,1,0,123,114,cape_cod_sfs
01540,92.9,1,1,118,112,cape_cod_sfs
01541,97.6,0,0,138,127,cape_cod_sfs
01542,101.6,1,0,126,116,cape_cod_sfs
01543,107.9,0,1,140,123,cape_cod_sfs
01545,98.4,3,0,116,124,cape_cod_sfs
01550,84.1,4,2,130,107,cape_cod_sfs
01560,104.5,1,0,107,119,cape_cod_sfs
01561,85.1,2,0,126,131,cape_cod_sfs
01562,105.1,1,4,134,116,cape_cod_sfs
01564,90.9,3,0,131,129,cape_cod_sfs
01566,88.4,2,1,135,109,cape_cod_sfs
01568,101.4,0,0,103,121,cape_cod_sfs
01569,94.1,0,0,98,113,cape_cod_sfs
01570,86.3,1,5,114,109,cape_cod_sfs
01571,84.9,3,0,122,108,cape_cod_sfs
01581,94,3,1,109,125,cape_cod_sfs
01583,96.5,1,0,127,126,cape_cod_sfs
01585,103,1,0,146,114,cape_cod_sfs
01588,98.8,2,0,104,116,cape_cod_sfs
01590,97.7,0,0,111,115,cape_cod_sfs
01602,107.9,4,5,125,120,cape_cod_sfs
01603,107.2,5,5,123,119,cape_cod_sfs
01604,104,3,5,118,121,cape_cod_sfs
01605,102.5,6,5,122,122,cape_cod_sfs
01606,101.1,7,5,124,123,cape_cod_sfs
01607,106.5,4,5,118,119,cape_cod_sfs
01608,105.3,4,5,121,121,cape_cod_sfs
01609,105.4,6,5,125,121,cape_cod_sfs
01610,106.9,4,5,121,120,cape_cod_sfs
01611,106.2,3,0,125,118,cape_cod_sfs
01612,110.9,0,0,132,120,cape_cod_sfs
01701,80.7,2,6,101,133,cape_cod_sfs
01702,83.8,3,6,98,131,cape_cod_sfs
01718,63.3,0,0,117,141,cape_cod_sfs
01719,71.6,1,0,119,137,cape_cod_sfs
01720,66.7,1,0,114,139,cape_cod_sfs
01721,87.8,3,0,99,129,cape_cod_sfs
01730,56.9,7,0,108,145,cape_cod_sfs
01731,60,2,0,105,144,cape_cod_sfs
01740,80,0,0,120,133,cape_cod_sfs
01741,58.1,0,0,115,144,cape_cod_sfs
01742,64.2,0,0,108,141,cape_cod_sfs
01745,86,2,0,103,130,cape_cod_sfs
01746,92.5,1,0,93,126,cape_cod_sfs
01747,102.8,6,0,94,120,cape_cod_sfs
01748,94,0,2,101,125,cape_cod_sfs
01749,80.4,1,1,113,132,cape_cod_sfs
01752,83.6,5,4,110,131,cape_cod_sfs
01754,72.3,0,0,110,137,cape_cod_sfs
01756,101.3,0,0,94,118,cape_cod_sfs
01757,99,5,0,95,122,cape_cod_sfs
01760,79.6,1,0,93,134,cape_cod_sfs
01770,85.7,1,0,90,131,cape_cod_sfs
01772,86.7,6,0,105,129,cape_cod_sfs
01773,64.8,0,0,103,142,cape_cod_sfs
01775,75.3,0,0,114,135,cape_cod_sfs
01776,74.1,1,0,105,136,cape_cod_sfs
01778,73.6,0,0,99,137,cape_cod_sfs
01801,52,11,0,101,150,cape_cod_sfs
01803,52.7,6,2,104,148,cape_cod_sfs
01810,37.9,7,0,117,154,cape_cod_sfs
01821,51,7,0,111,148,cape_cod_sfs
01824,53.7,4,0,119,146,cape_cod_sfs
01826,44.2,3,0,125,150,cape_cod_sfs
01827,58.6,0,0,134,144,cape_cod_sfs
01830,20.2,0,1,129,161,cape_cod_sfs
01832,26.1,6,1,131,158,cape_cod_sfs
01833,22.1,1,0,120,162,cape_cod_sfs
01834,21.1,1,0,123,162,cape_cod_sfs
