fips,p_pga_ge_0_1g_per_year,p_pga_ge_0_2g_per_year,mmi6_100yr,model
21029,0.001004,0.0002488,0.1428,conus-2023-grid
21031,0.001916,0.0005613,0.2941,conus-2023-grid
21033,0.004932,0.001966,0.3687,conus-2023-grid
21035,0.006166,0.002677,0.5251,conus-2023-grid
21037,0.0006263,0.00018,0.08496,conus-2023-grid
21039,0.01162,0.005717,0.6983,conus-2023-grid
21041,0.0007209,0.0001849,0.1089,conus-2023-grid
21043,0.0007158,0.0002264,0.08044,conus-2023-grid
21045,0.0008792,0.0002075,0.1068,conus-2023-grid
21047,0.003472,0.001272,0.3358,conus-2023-grid
21049,0.0008564,0.0002618,0.134,conus-2023-grid
21051,0.001377,0.0004429,0.1736,conus-2023-grid
21053,0.001117,0.0002643,0.1308,conus-2023-grid
21055,0.005932,0.002444,0.4728,conus-2023-grid
21057,0.001032,0.0002313,0.1549,conus-2023-grid
21059,0.003137,0.001084,0.3655,conus-2023-grid
21061,0.001352,0.0003469,0.1486,conus-2023-grid
21063,0.0007596,0.0002353,0.08867,conus-2023-grid
21065,0.0009098,0.0002682,0.09695,conus-2023-grid
21067,0.0008101,0.0002345,0.1641,conus-2023-grid
21069,0.0008316,0.0002814,0.1311,conus-2023-grid
21071,0.001009,0.000314,0.1117,conus-2023-grid
21073,0.0007613,0.0002028,0.1752,conus-2023-grid
21075,0.01327,0.006216,0.6949,conus-2023-grid
21077,0.0006693,0.0001764,0.08894,conus-2023-grid
21079,0.0008446,0.0002228,0.1176,conus-2023-grid
21081,0.0006867,0.0001911,0.1702,conus-2023-grid
21083,0.008335,0.003805,0.6019,conus-2023-grid
21085,0.001528,0.0004128,0.2052,conus-2023-grid
21087,0.0009393,0.0002096,0.1269,conus-2023-grid
21089,0.0006518,0.0002092,0.06989,conus-2023-grid
21091,0.00239,0.0007557,0.2674,conus-2023-grid
21093,0.001172,0.0002918,0.2199,conus-2023-grid
21095,0.001797,0.0006198,0.1497,conus-2023-grid
21097,0.0007698,0.0002359,0.1528,conus-2023-grid
21099,0.001095,0.0002582,0.1308,conus-2023-grid
21101,0.004731,0.001836,0.4492,conus-2023-grid
21103,0.0007536,0.0001929,0.09212,conus-2023-grid
21105,0.01085,0.005082,0.6411,conus-2023-grid
21107,0.003953,0.001461,0.4119,conus-2023-grid
21109,0.001044,0.0003043,0.1194,conus-2023-grid
21111,0.0009719,0.0002459,0.198,conus-2023-grid
21113,0.0008095,0.0002212,0.1614,conus-2023-grid
21115,0.0008165,0.0002448,0.1075,conus-2023-grid
21117,0.0006256,0.0001739,0.1114,conus-2023-grid
21119,0.00114,0.0003567,0.155,conus-2023-grid
21121,0.001834,0.000631,0.1544,conus-2023-grid
21123,0.0009927,0.0002309,0.2159,conus-2023-grid
21125,0.001328,0.0004091,0.2107,conus-2023-grid
21127,0.0007314,0.0002214,0.07761,conus-2023-grid
21129,0.0009498,0.0002822,0.1646,conus-2023-grid
21131,0.001489,0.0004921,0.1306,conus-2023-grid
21133,0.00137,0.0004468,0.1574,conus-2023-grid
21135,0.0007365,0.0002441,0.08423,conus-2023-grid
21137,0.0008766,0.0002227,0.1027,conus-2023-grid
21139,0.007165,0.003145,0.4859,conus-2023-grid
21141,0.002071,0.0006317,0.241,conus-2023-grid
21143,0.005828,0.002451,0.487,conus-2023-grid
21145,0.009022,0.004267,0.6401,conus-2023-grid
21147,0.001583,0.0004757,0.1553,conus-2023-grid
21149,0.003449,0.001224,0.3775,conus-2023-grid
21151,0.0008643,0.0002443,0.1656,conus-2023-grid
21153,0.000891,0.0002672,0.09031,conus-2023-grid
21155,0.000848,0.0001932,0.1802,conus-2023-grid
21157,0.006843,0.003008,0.5191,conus-2023-grid
21159,0.0008776,0.0002724,0.08597,conus-2023-grid
21161,0.000782,0.0002636,0.1523,conus-2023-grid
21163,0.001414,0.0003834,0.2553,conus-2023-grid
21165,0.0008668,0.0002727,0.09012,conus-2023-grid
21167,0.0008005,0.0002033,0.1643,conus-2023-grid
21169,0.001004,0.000224,0.237,conus-2023-grid
21171,0.001083,0.0002445,0.1534,conus-2023-grid
