fips,strategic_class,strategic_site_ids,strategic_km,strategic_bearing,uasi_share,uasi_area
08001,C2,metro_19740,,,0.001738,26
08003,E,,,,0,
08005,C2,metro_19740,,,0.002189,26
08007,E,,,,0,
08009,E,,,,0,
08011,D,schriever_sfb,143.4,305,0,
08013,E,,,,0,
08014,C2,metro_19740,,,0.0002478,26
08015,E,,,,0,
08017,E,,,,0,
08019,C2,metro_19740,,,0.00003143,26
08021,E,,,,0,
08023,E,,,,0,
08025,D,peterson_sfb;cheyenne_mountain,101.2,314,0,
08027,E,,,,0,
08029,E,,,,0,
08031,C2,metro_19740,,,0.002393,26
08033,E,,,,0,
08035,C2,metro_19740,,,0.001197,26
08037,E,,,,0,
08039,C2,metro_19740,,,0.00008714,26
08041,A,cheyenne_mountain;peterson_sfb;schriever_sfb,,,0.004566,43
08043,E,,,,0,
08045,E,,,,0,
08047,C2,metro_19740,,,0.00001942,26
08049,E,,,,0,
08051,E,,,,0,
08053,E,,,,0,
08055,E,,,,0,
08057,E,,,,0,
08059,C2,metro_19740,,,0.00195,26
08061,E,,,,0,
08063,B,warren_field,214.5,311,0,
08065,E,,,,0,
08067,E,,,,0,
08069,B,warren_field,59.9,84,0,
08071,E,,,,0,
08073,D,schriever_sfb;peterson_sfb;cheyenne_mountain,88.7,242,0,
08075,A,warren_field,,,0,
08077,E,,,,0,
08079,E,,,,0,
08081,E,,,,0,
08083,E,,,,0,
08085,E,,,,0,
08087,B,warren_field,60.5,304,0,
08089,D,peterson_sfb;cheyenne_mountain,127,315,0,
08091,E,,,,0,
08093,C2,metro_19740,,,0.00005789,26
08095,B,warren_field,61.1,284,0,
08097,E,,,,0,
08099,E,,,,0,
08101,E,,,,0,
08103,E,,,,0,
08105,E,,,,0,
08107,E,,,,0,
08109,E,,,,0,
08111,E,,,,0,
08113,E,,,,0,
08115,B,warren_field,64,296,0,
08117,E,,,,0,
08119,E,,,,0.0001543,43
08121,B,warren_field,70.3,5,0,
08123,A,warren_field,,,0,
08125,B,warren_field,170.3,289,0,
09110,C2,metro_25540,,,0,
09120,D,metro_35620,49.4,301,0,
09130,C2,metro_25540,,,0,
09140,D,metro_35620,53.9,257,0,
09150,E,,,,0,
09160,D,metro_35620,146.6,235,0,
09170,D,metro_35620,74.8,281,0,
09180,D,metro_35620,111.5,229,0,
09190,D,metro_35620,27,303,0,
10001,D,metro_47900;pentagon,117.4,259,0,
10003,C1,metro_37980,,,0.002596,8
10005,D,metro_47900,137.7,282,0,
11001,A,pentagon,5.7,219,0.006051,3
12001,E,,,,0,
12003,C2,metro_27260,,,0.0001258,30
12005,E,,,,0,
12007,E,,,,0,
12009,E,,,,0,
12011,C1,metro_33100,,,0.007426,12
12013,E,,,,0,
12015,E,,,,0,
12017,E,,,,0,
12019,C2,metro_27260,,,0.0009851,30
12021,E,,,,0,
12023,E,,,,0,
12027,E,,,,0,
12029,E,,,,0,
12031,C2,metro_27260,,,0.004493,30
12033,E,,,,0,
12035,E,,,,0,
12037,E,,,,0,
12039,E,,,,0,
12041,E,,,,0,
12043,E,,,,0,
12045,E,,,,0,
12047,E,,,,0,
12049,E,,,,0,
12051,E,,,,0,
12053,C2,metro_45300,,,0.0006952,22
12055,E,,,,0,
12057,C2,metro_45300,,,0.005214,22
12059,E,,,,0,
12061,E,,,,0,
12063,E,,,,0,
12065,E,,,,0,
12067,E,,,,0,
12069,C2,metro_36740,,,0.001485,25
12071,E,,,,0,
12073,E,,,,0,
