fips,smoke_days_35,smoke_days_55,smoke_trend,hms_smoke_days,smoke_basis
38053,2.42,0.895,1.01,31.2,monitor
38055,3.28,1.37,0.616,31.8,imputed
38057,3.15,1.28,1.04,30.6,monitor
38059,3.9,1.82,0.643,31.5,imputed
38061,4.09,1.45,0.768,32.8,imputed
38063,3.62,1.53,0.734,35.2,imputed
38065,3.83,1.79,1.6,31.5,monitor
38067,3.41,1.24,0.691,34,imputed
38069,4.23,1.5,0.853,33.9,imputed
38071,3.5,1.27,0.709,34.9,imputed
38073,3.39,1.43,0.712,33,imputed
38075,4.22,1.5,0.827,33.8,imputed
38077,3.39,1.43,0.722,33,imputed
38079,4.28,1.52,0.86,34.2,imputed
38081,1.96,0.652,0.401,32.6,imputed
38083,4.34,1.84,0.818,32.2,imputed
38085,4.16,1.76,0.704,30.9,imputed
38087,1.55,0.646,0.226,30.5,imputed
38089,1.55,0.646,0.26,30.5,imputed
38091,3.51,1.48,0.738,34.1,imputed
38093,4.39,1.86,0.813,32.6,imputed
38095,3.4,1.23,0.716,33.9,imputed
38097,3.51,1.48,0.752,34.1,imputed
38099,3.4,1.23,0.711,33.9,imputed
38101,4.16,1.47,1.21,33,monitor
38103,4.36,1.85,0.884,32.4,imputed
38105,0.813,0,0.133,32.1,monitor
39001,1.02,0.408,0.385,15.5,imputed
39003,0.625,0.375,0.417,18.6,monitor
39005,0.756,0.378,0.27,16.4,imputed
39007,0.724,0.362,0.252,17.4,imputed
39009,0.195,0.195,0.13,15,monitor
39011,0.679,0.407,0.224,19,imputed
39013,0.197,0.197,0.131,14.8,monitor
39015,0.942,0.236,0.332,16.4,imputed
39017,1.4,0.509,0.934,18.2,monitor
39019,0,0,0,15.1,imputed
39021,0.942,0.404,0.328,17.5,imputed
39023,0.875,0.375,0.583,17,monitor
39025,0.978,0.245,0.325,17,imputed
39027,0.915,0.392,0.324,17,imputed
39029,1.03,0.513,0.382,14.9,imputed
39031,0,0,0,14.9,imputed
39033,0,0,0,17.9,imputed
39035,1,0.375,0.667,17.4,monitor
39037,1.03,0.385,0.34,18.6,imputed
39039,0,0,0,20.5,imputed
39041,1.21,0.536,0.43,16.8,imputed
39043,0,0,0,18.9,imputed
39045,1.11,0.492,0.407,15.4,imputed
39047,0.882,0.378,0.31,16.4,imputed
39049,1.12,0.5,0.75,16.6,monitor
39051,0.852,0.341,0.281,20.6,imputed
39053,0.705,0.282,0.272,15.4,imputed
39055,0.698,0.349,0.246,16.8,imputed
39057,0.915,0.392,0.327,17,imputed
39059,0,0,0,14.5,imputed
39061,1,0.25,0.667,17.4,monitor
39063,0.665,0.399,0.233,18.6,imputed
39065,0.643,0.386,0.22,18,imputed
39067,0,0,0,14.6,monitor
39069,0.719,0.431,0.24,20.1,imputed
39071,1.09,0.434,0.381,16.5,imputed
39073,0.273,0.273,0.104,14.8,imputed
39075,1.04,0.391,0.368,15.5,imputed
39077,0,0,0,18,imputed
39079,1.02,0.408,0.381,15.5,imputed
39081,0.75,0.375,0.357,15,monitor
39083,1.12,0.496,0.413,15.5,imputed
39085,0.716,0.358,0.477,17.4,monitor
39087,0.631,0.252,0.414,14.9,monitor
39089,1.12,0.496,0.408,15.5,imputed
39091,0.643,0.386,0.218,18,imputed
39093,0,0,0,18.2,monitor
39095,0.716,0.358,0.477,20.2,monitor
39097,0.909,0.389,0.321,16.9,imputed
