fips,sdwis_violation_pop_share,cws_pop_share
12007,0.00199,0.533
12009,0.207,1
12011,0.205,0.984
12013,0,0.316
12015,0.0027,1
12017,0.00684,0.776
12019,0.00053,0.822
12021,0.00354,1
12023,0.0477,0.338
12027,0.294,0.671
12029,0.0206,0.29
12031,0.000141,0.937
12033,0,1
12035,0.000644,1
12037,0.513,1
12039,0.00379,0.864
12041,0,0.195
12043,0.603,0.557
12045,0.26,1
12047,0,0.572
12049,0.00905,0.62
12051,0.00984,0.862
12053,0.00287,0.874
12055,0.0417,0.95
12057,0.00127,1
12059,0.126,0.25
12061,0,1
12063,0.0745,0.496
12065,0,0.609
12067,0,0.299
12069,0.0898,1
12071,0.639,0.946
12073,0.000656,0.803
12075,0.0966,0.268
12077,0.447,1
12079,0.873,0.519
12081,0.0341,1
12083,0.0206,0.697
12085,0.0552,0.998
12086,0.0000228,1
12087,1,0.364
12089,0.00399,0.682
12091,0.0787,1
12093,0.0772,0.591
12095,0.0534,1
12097,0.00546,0.844
12099,0.542,1
12101,0.00471,0.71
12103,0.05,1
12105,0.271,0.895
12107,0.579,0.358
12109,0.0055,0.8
12111,0.0378,0.997
12113,0.000113,1
12115,0,1
12117,0.0706,1
12119,0.00803,1
12121,0.297,0.306
12123,0.645,0.521
12125,0,0.303
12127,0.0287,0.992
12129,0.784,0.901
12131,0.00936,1
12133,0.274,0.361
13001,0,0.367
13003,0.412,0.507
13005,0,0.374
13007,0,0.292
13009,0.998,1
13011,0.358,0.624
13013,0.117,1
13015,0,0.997
13017,0,0.899
13019,0,0.441
13021,0,0.83
13023,0,0.767
13025,0,0.152
13027,0,0.559
13029,0,0.841
13031,0.0012,0.992
13033,0,0.353
13035,0,1
13037,0.23,0.952
13039,0.436,1
13043,0,0.497
13045,0.00235,0.902
13047,0.0435,1
13049,0,0.542
13051,0.117,1
13053,0,0.31
13055,0,0.955
13057,0,1
13059,0.982,0.992
13061,0,0.94
13063,0,1
13065,0,0.58
13067,0,1
13069,0.0258,0.562
13071,0,0.555
13073,0.868,0.924
13075,0,0.572
13077,0.621,1
13079,0,0.51
13081,0,0.857
13083,0,1
13085,0,1
13087,0.041,0.624
13089,0,1
13091,0,0.572
13093,0,0.829
13095,0,1
13097,0,0.882
13099,0,0.577
13101,1,0.278
13103,0,0.772
13105,0,0.482
13107,0.07,0.686
13109,0,0.593
13111,0,0.675
13113,0.00639,0.884
13115,0,0.996
13117,0,0.887
13119,0.29,0.829
13121,0.0561,1
13123,0,0.558
13125,0.977,0.58
13127,0.00339,1
13129,0,0.94
13131,0,0.456
13133,0.0174,1
13135,0,1
13137,0.122,0.857
13139,0,0.738
13141,0.368,0.907
13143,0.483,0.846
13145,0,0.947
13147,0.00331,0.644
13149,0.891,0.804
13151,0,0.955
13153,0,1
13155,0,0.384
13157,0.383,1
13159,0.463,0.6
13161,0.905,0.433
13163,0.00809,0.758
13165,0,0.771
13167,0,0.464
13169,0,0.826
13171,0.172,0.709
13173,0.579,0.476
13175,0,0.576
13177,0.75,0.821
13179,0,1
13181,0.994,1
13183,0.00838,0.52
13185,0.705,0.808
13187,0,0.418
13189,1,0.985
13191,0,1
13193,0.131,0.849
13195,0.0822,0.413
13197,0.195,0.977
13199,0.418,0.628
13201,0,0.334
13205,0.278,0.662
13207,0,1
13209,0.0279,0.623
13211,0.682,0.47
13213,0,0.712
13215,0,1
13217,0.0238,0.853
13219,0,0.828
13221,0.172,0.398
13223,0,0.73
13225,0,0.933
13227,0,0.939
13229,0.0122,0.349
13231,0,0.47
13233,0,0.908
13235,0,0.878
13237,0.059,1
13239,0,1
13241,0.048,0.87
13243,0,0.644
13245,0.00106,1
13247,0,0.966
13249,0,1
13251,0.033,0.509
13253,0,0.478
13255,0,0.971
13257,0.909,1
13259,0,1
13261,0,0.6
13263,0.628,1
13265,1,0.4
13267,0,0.5
13269,0.213,0.783
13271,0.0267,0.827
13273,0,0.689
13275,0.0104,0.89
13277,0,0.849
13279,0.0189,0.754
13281,0,1
13283,0,0.487
13285,0.0824,0.752
13287,0,0.709
13289,0,0.376
13291,0.169,1
13293,0,0.753
13295,0,0.946
13297,0.07,0.809
13299,0,0.91
13301,0.895,0.678
13303,0,0.688
13305,0,0.481
13307,0,0.433
13309,0,0.678
13311,0,0.599
13313,0,0.967
13315,0,0.662
13317,0.875,0.78
13319,0,0.772
13321,0,0.49
15001,0.00174,0.717
15003,0.0000268,1
15007,0,1
15009,0,1
16001,0.02,1
16003,0.0108,0.552
16005,0.751,0.902
16007,0.133,0.855
16009,0.192,0.678
16011,0.596,0.491
16013,0.147,0.87
16015,0.313,0.561
16017,0.48,0.613
16019,0.2,0.96
16021,0.116,0.916
16023,0.777,0.54
16025,1,0.416
16027,0.0084,0.88
16029,0.191,0.685
16031,0.946,0.528
16033,1,0.653
16035,0.875,0.678
16037,0,0.379
16039,0.587,0.909
16041,0.736,0.742
16043,0.151,0.543
16045,0.00868,0.362
16047,0.00653,0.53
16049,0.186,0.467
16051,0.645,0.303
16053,0.0323,0.623
16055,0.0245,0.965
16057,0.0668,1
16059,0.93,0.445
16061,0.178,0.843
16063,0.169,0.52
16065,0.00103,0.828
16067,0.0139,0.5
16069,0.0145,0.879
16071,0,0.482
16073,0.0529,0.474
16075,0.427,0.688
16077,0.0287,0.671
16079,0.0136,1
16081,0.0127,0.586
16083,0.0606,0.794
16085,0.683,0.636
16087,0,0.583
17001,0.0235,0.995
17003,0,1
17005,0.127,1
17007,0,0.767
17009,0,0.918
17011,0.175,0.778
17013,0.0219,1
17015,0.0541,0.71
17017,0.0753,0.854
17019,0.00373,0.999
17021,0.159,0.839
17023,0.204,1
17025,0,0.762
17027,0.171,0.928
17029,0.299,1
17031,0.0451,0.99
17033,0.0798,1
17035,0.346,0.454
17037,0.0157,0.941
17039,0.016,0.706
17041,0.2,0.934
17043,0.00186,0.91
17045,0.104,0.724
17047,0,1
17049,0.148,0.694
17051,0.833,0.834
17053,0.0501,0.758
17055,0.19,1
17057,0.0339,0.959
17059,0,0.956
17061,0.287,1
17063,0.155,0.817
17065,0.358,0.989
17067,0.143,0.674
17069,0,1
17071,0,1
17073,0.093,0.785
17075,0.132,0.776
17077,0.755,1
17079,0,1
17081,0,0.965
17083,0,1
17085,0.487,0.684
17087,0.471,0.601
17089,0.0479,1
17091,0.882,0.852
17093,0.00131,0.578
17095,0.0433,0.921
17097,0.0463,0.883
17099,0.497,0.843
17101,0.352,0.842
17103,0.0295,0.823
17105,0.291,0.797
17107,0.748,0.851
17109,0.48,1
17111,0.266,0.802
17113,0.0716,0.962
17115,0.115,0.993
17117,0.335,1
17119,0.0467,1
17121,0,1
17123,0.19,0.78
17125,0.0689,0.607
17127,0.51,0.975
17129,0.062,0.989
17131,0.0755,0.625
17133,0.151,0.774
17135,0.439,0.912
17137,0.157,1
17139,0,0.867
17141,0.117,0.629
17143,0.0477,0.928
17145,0.709,0.906
17147,0.183,0.692
17149,0.0176,1
17151,1,1
17153,0.0626,0.623
17155,0.251,0.71
17157,0.372,0.974
17159,0.129,0.697
17161,0.088,1
17163,0.00771,0.99
17165,0.75,1
17167,0.02,0.93
17169,0.151,1
17171,0.185,0.896
17173,0.194,0.569
17175,0.422,0.633
17177,0.011,0.714
17179,0.0666,0.924
17181,0.718,0.778
17183,0.0311,0.748
17185,0.71,0.871
17187,0.735,0.719
17189,0,1
17191,0.644,0.998
17193,0.0126,1
17195,0.229,0.665
17197,0.327,0.844
17199,0.272,1
17201,0.0598,0.845
17203,0.0412,0.663
18001,0.0155,0.469
18003,0.878,0.801
18005,0.00231,0.92
18007,0.041,0.7
18009,0,0.588
18011,0.65,0.368
18013,0,1
18015,0.0262,0.299
18017,0.00578,0.581
18019,0.112,1
18021,0.19,0.642
18023,0.0377,0.631
18025,0.464,0.673
18027,0.539,0.761
18029,0.133,0.925
18031,0.927,0.772
18033,0.025,0.579
18035,0.00163,0.779
18037,0.121,1
18039,0.0132,0.473
18041,0.00204,0.669
18043,0,0.319
18045,0.407,0.558
18047,0.132,0.557
18049,0,0.401
18051,0.225,0.859
18053,0.156,0.668
18055,0.0311,1
18057,0.454,0.635
18059,0,0.458
18061,0.425,1
18063,0.00615,0.498
18065,0,0.615
18067,0.00392,0.768
18069,0.861,0.642
18071,0.0392,0.858
18073,0.102,0.37
18075,0,0.515
18077,0,1
18079,0.375,0.936
18081,0,0.886
18083,0.082,0.861
18085,0.0574,0.334
18087,0.164,0.163
18089,0.0322,1
18091,0.328,0.634
18093,0.136,1
18095,0.773,0.715
18097,0.0521,0.962
18099,0.273,0.492
18101,0,1
18103,0.0202,0.482
18105,0.711,0.905
18107,0.0366,0.573
18109,0,0.815
18111,0.0571,0.398
18113,0.116,0.446
18115,0.666,1
18117,0,0.459
18119,0.0608,0.655
18121,0.761,0.551
18123,0.0698,0.914
18125,0.571,1
18127,0.0324,0.268
18129,0.138,0.403
18131,0.243,0.318
18133,0.0323,0.701
18135,0.103,0.573
18137,0.347,1
18139,0.0337,0.554
18141,0.000137,0.67
18143,0,1
18145,0.00455,0.478
18147,0.138,0.923
18149,0.587,0.27
18151,0.0357,0.506
18153,0.0606,0.914
18155,0,1
18157,0.0143,0.867
18159,0.195,0.421
18161,0,0.38
18163,0,1
18165,0.176,0.867
18167,0.0036,0.808
18169,0.015,0.678
18171,0.0145,0.303
18173,0.0537,0.969
18175,0.72,0.83
18177,0.0561,0.755
18179,0.00321,0.497
18181,0.186,0.469
18183,0.127,0.415
19001,0,1
19003,0,1
19005,0,0.552
19007,0,1
19009,0,0.572
19011,0.15,0.726
19013,0,1
19015,0.56,1
19017,0,0.825
19019,0,0.596
19021,0,1
19023,0.0139,0.727
19025,0.0911,0.801
19027,0.00603,0.951
19029,0.0699,0.786
19031,0.00535,0.647
19033,0,0.881
19035,0,1
19037,0.0589,0.574
19039,0.415,1
19041,0,0.951
19043,0,0.567
19045,0,0.838
19047,0,0.94
19049,0.0171,0.856
19051,0,0.778
19053,0.346,1
19055,0,0.447
19057,0.0236,1
19059,0.692,0.787
19061,0,0.845
19063,0,0.813
19065,0,0.664
19067,0,0.677
19069,0,0.664
19071,0,0.618
19073,0,0.731
19075,0,0.766
19077,0.0283,0.649
19079,0,0.819
19081,0.036,0.655
19083,0,0.852
19085,0,0.563
19087,0,0.904
19089,0,0.602
19091,0.0562,0.711
19093,0,0.701
19095,0.00375,0.736
19097,0,0.582
19099,0,0.79
19101,0,1
19103,0.00454,1
19105,0,0.591
19107,0,0.783
19109,0,0.671
19111,0,1
19113,0.000958,0.943
19115,0,0.542
19117,0,1
19119,0,1
19121,0,1
19123,0,1
19125,0,0.905
19127,0,0.939
19129,0.0366,0.523
19131,0,0.546
19133,0,0.663
19135,0,0.996
19137,0,1
19139,0,0.812
19141,0,0.789
19143,0,1
19145,0,0.99
19147,0.0166,1
19149,0,0.674
19151,0.0937,0.734
19153,0.0401,1
19155,0,0.885
19157,0.654,0.823
19159,0,0.794
19161,0.159,0.845
19163,0.00556,0.951
19165,0,0.704
19167,0,1
19169,0.0118,1
19171,0,1
19173,0,0.882
19175,0,0.929
19177,0,0.886
19179,0,0.984
19181,0,1
19183,0,0.846
19185,0,0.965
19187,0.0115,0.932
19189,0,0.776
19191,0,0.589
19193,0.00327,0.925
19195,0,0.609
19197,0,0.796
20001,0.0177,0.798
20003,0,0.929
20005,0,1
20007,0.266,0.857
20009,0.0169,0.854
20011,0.0704,1
20013,0.0363,0.739
20015,0.0632,0.72
20017,0.0399,0.674
20019,0.904,0.84
20021,0.219,0.945
20023,0,0.661
20025,0,0.792
20027,0,0.794
20029,0,0.816
20031,0,1
20033,0.121,0.845
20035,0,0.972
20037,0.0977,0.999
20039,0,0.682
20041,0.185,0.825
20043,0.155,0.887
20045,0,1
20047,0.87,0.715
20049,0.531,0.948
20051,0.00376,0.901
20053,0.444,1
20055,0.00172,1
20057,0.943,0.845
20059,0.546,0.93
20061,0.332,1
20063,0.0478,0.639
20065,0.0818,0.705
20067,0,0.873
20069,0.0699,0.636
20071,0.115,0.695
20073,0.22,1
20075,0.0407,0.78
20077,0.0707,0.823
20079,0.0106,0.939
20081,0.432,0.645
20083,0,0.591
20085,0,0.911
20087,0.0826,1
20089,0.23,0.871
20091,0.00693,1
20093,0.242,0.719
20095,0.0992,0.584
20097,0,0.633
20099,0.71,0.972
20101,0,0.77
20103,0,1
20105,0.116,0.564
20107,0.418,1
20109,0.917,0.801
20111,0.783,0.954
20113,0,0.813
20115,0.162,0.811
20117,0.14,0.793
20119,0.334,0.756
20121,0.147,0.85
20123,0.866,1
20125,0.373,0.971
20127,0,0.905
20129,0,0.84
20131,0.00603,0.937
20133,0.0191,1
20135,0,0.745
20137,0.818,0.629
20139,0.0242,1
20141,0.053,0.788
20143,0.0376,0.918
20145,0.0168,0.933
20147,0.0137,0.76
20149,0.0805,0.914
20151,0.961,0.775
20153,0,0.596
20155,0.845,0.795
20157,0.688,1
20159,0.461,0.866
20161,0.000798,0.87
20163,0.583,0.821
20165,0.128,0.791
20167,0.65,1
20169,0.00434,0.934
20171,0,0.728
20173,0,0.95
20175,0,0.916
20177,0.052,0.864
20179,0,0.575
20181,0,0.777
20183,0.0977,0.76
20185,0.818,0.636
20187,0,0.706
20189,0,0.773
20191,0.0641,1
20193,0,0.757
20195,0,1
20197,0.347,0.72
20199,0,0.684
20201,0.0744,0.954
20203,0,0.669
20205,0.0996,1
20207,0.465,1
20209,0,0.95
21001,1,1
21003,0,1
21005,0.363,0.971
21007,0,0.697
21009,0,0.9
21011,0.741,1
21013,0.0095,1
21015,0,0.736
21017,0.912,0.766
21019,0.196,1
21021,0,1
21023,0,1
21025,0.476,0.725
21027,0,1
21029,0,0.324
21031,0.156,1
21033,0,1
21035,0.0313,0.83
21039,0,0.519
21041,0.00893,1
21043,0.399,1
21045,0.844,0.926
21047,0,1
21049,0,1
21051,0.32,0.82
21053,1,0.977
21055,1,0.338
21057,0.735,1
21059,0,1
21061,0.794,1
21063,0,0.48
21065,0.627,1
21067,0,1
21069,0,0.949
21071,0.367,1
21073,0,1
21075,1,1
21077,0,0.903
21079,0,1
21081,0.0772,1
21083,0,0.785
21085,0,1
21087,0,1
21089,0.173,1
21091,0,0.712
21093,0.049,1
21095,0.348,1
21097,0.697,1
21099,0,1
21101,0,1
21103,0,1
21105,0,0.429
21107,0.609,1
21109,0.089,1
21111,0,1
21113,0.257,1
21115,0,1
21117,0,1
21119,0,0.65
21121,0.336,0.821
21123,0,0.922
21125,0.124,1
21127,0,0.507
21129,0,1
21131,0,0.924
21133,0.524,0.576
21135,0,0.753
21137,0.251,0.891
21139,0.718,1
21141,0.166,1
21143,0.522,1
21145,0,0.96
21147,0,1
21149,0.113,0.933
21151,0.39,0.986
21153,0.253,1
21155,0.319,1
21157,0,1
21159,1,0.798
21161,0,1
21163,0.836,1
21165,0.995,0.894
21167,0.425,1
21169,0,0.828
21171,0.89,1
21173,0.773,1
21175,0.76,0.721
21177,0.648,1
21179,0.138,1
21181,0,1
21183,0.729,1
21185,0,0.717
21189,1,1
21191,0,1
21193,0,1
21195,0.795,0.946
21197,0,1
21199,0,1
21201,0,0.353
21203,0,1
21205,0.547,1
21207,0.56,0.935
21209,0,0.781
21211,0,1
21213,0,1
21215,0,1
21217,0,0.958
21219,0.151,1
21221,0,1
21223,0,0.945
21225,1,1
21227,0,1
21229,0,1
21231,0,1
21233,0.491,1
21235,0.468,1
21237,0,1
21239,0.664,1
22001,0.398,1
22003,0.758,1
