fips,sfha_home_share,claims_per_1000_policies_year,mean_paid_usd,residential_structures,residential_structures_sfha,policies_in_force,sfha_policy_share,claims_per_year,sfha_share_basis
27003,0.01525,9.42,5240,124000,1891,230,0.07351,2.167,structures
27005,0.00003971,593.3,15980,25180,0,5,,2.967,policies_lower_bound
27007,0,33.33,5604,25370,0,3,,0.1,structures
27009,0.02997,18.42,5584,15910,477,76,0.1468,1.4,structures
27011,0.05709,98.89,11010,3013,172,30,0.157,2.967,structures
27013,0.0004142,44.67,17950,24140,0,50,,2.233,policies_lower_bound
27015,0.009177,26.44,5743,15800,145,29,0.09655,0.7667,structures
27017,0.0004173,14.94,46730,14380,0,29,,0.4333,policies_lower_bound
27019,0.003201,9.848,7936,38740,124,88,0.2097,0.8667,structures
27021,0,45.83,8175,24430,0,8,,0.3667,structures
27023,0.0005186,711.1,14770,5785,0,6,,4.267,policies_lower_bound
27025,0.009913,10.81,39550,26230,260,37,0.09615,0.4,structures
27027,0.03302,199.6,12820,24110,796,177,0.1043,35.33,structures
27029,0,,23450,4142,0,0,,0.5,structures
27031,0,13.89,20430,5340,0,12,,0.1667,structures
27033,0.007938,22.6,11910,7181,0,59,,1.333,policies_lower_bound
27035,0.01603,4.924,10250,41220,661,88,0.1014,0.4333,structures
27037,0.003344,19.25,9071,145900,488,161,0.06557,3.1,structures
27039,0.002052,25.56,22260,9746,0,30,,0.7667,policies_lower_bound
27041,0.004445,39.39,24260,23400,104,11,0.06731,0.4333,structures
27043,0.0008734,40.74,8410,8015,0,9,,0.3667,policies_lower_bound
27045,0.0217,31.6,10770,15720,341,77,0.1613,2.433,structures
27047,0.003529,35.9,12980,17000,60,13,0.08333,0.4667,structures
27049,0.01699,64.1,16440,18070,307,78,0.1726,5,structures
27051,0.0002597,100,31210,3850,0,1,,0.1,policies_lower_bound
27053,0.00518,12.21,11500,384600,1992,882,0.1486,10.77,structures
27055,0.02496,47.37,19720,11100,277,38,0.08664,1.8,structures
27057,0,311.1,19450,17690,0,3,,0.9333,structures
27059,0.04541,11.64,11080,19140,869,63,0.05178,0.7333,structures
27061,0.0001988,15.69,23180,30180,0,17,,0.2667,policies_lower_bound
27063,0.002499,19.7,19970,8402,0,22,,0.4333,policies_lower_bound
27065,0.0006182,59.26,13700,9705,0,9,,0.5333,policies_lower_bound
27067,0.004386,10.42,4288,21890,96,16,0.1042,0.1667,structures
27069,0.1006,160.8,13510,2345,236,17,0.05932,2.733,structures
27071,0.002292,20.29,31450,8291,0,23,,0.4667,policies_lower_bound
27073,0.01061,266.7,7375,3110,33,4,0.09091,1.067,structures
27075,0,20.83,8728,8079,0,8,,0.1667,structures
27077,0.005249,6.944,32150,3810,0,24,,0.1667,policies_lower_bound
27079,0.005551,23.48,41780,12250,0,88,,2.067,policies_lower_bound
27081,0,50,7496,6417,0,2,,0.1,structures
27083,0.0114,25.29,4456,9473,108,29,0.1111,0.7333,structures
27085,0.007419,16.67,8598,14560,108,34,0.1759,0.5667,structures
27087,0.003705,166.7,18700,2159,8,2,0,0.3333,structures
27089,0.05331,1023,6235,4708,251,23,0.07968,23.53,structures
27091,0,,,11700,0,0,,0,structures
27093,0.03002,5.128,18310,9895,297,26,0.07744,0.1333,structures
27095,0.03621,8.772,8106,14470,524,57,0.07824,0.5,structures
27097,0.001345,30.61,16970,22310,0,49,,1.5,policies_lower_bound
27099,0.01231,105.8,21800,20560,253,75,0.166,7.933,structures
27101,0.002573,21.74,16570,8161,0,23,,0.5,policies_lower_bound
27103,0.0002821,44.44,17230,14180,0,33,,1.467,policies_lower_bound
27105,0.008643,107.4,4274,8099,70,18,0.2429,1.933,structures
27107,0.0731,121.5,12690,3160,231,45,0.1429,5.467,structures
27109,0.004356,12.34,16930,51880,226,154,0.1637,1.9,structures
27111,0,466.7,19550,45210,0,7,,3.267,structures
27113,0.0004802,100,2494,8329,0,7,,0.7,policies_lower_bound
27115,0.03599,18.24,32910,21870,787,106,0.1118,1.933,structures
27117,0.001097,66.67,6217,4556,0,6,,0.4,policies_lower_bound
27119,0.002601,371.2,30650,19220,0,102,,37.87,policies_lower_bound
27121,0.0006497,25.93,7620,9235,0,9,,0.2333,policies_lower_bound
27123,0.004592,13.78,8529,154000,707,179,0.05658,2.467,structures
27125,0.002452,,5486,1631,4,0,0,0.03333,structures
27127,0.003697,25,47820,6491,24,4,0.08333,0.1,structures
27129,0.0004522,66.67,13940,13270,6,3,0,0.2,structures
27131,0.01138,19.81,19370,26900,306,69,0.1209,1.367,structures
27133,0.001985,33.33,11220,4030,0,14,,0.4667,policies_lower_bound
27135,0.05789,185.6,10450,9863,571,44,0.0648,8.167,structures
27137,0.001783,12.18,18950,102600,0,290,,3.533,policies_lower_bound
27139,0.006716,16.81,12020,51070,343,117,0.1924,1.967,structures
27141,0.007995,15.26,13430,31020,248,107,0.3145,1.633,structures
27143,0,66.67,8962,13120,0,5,,0.3333,structures
27145,0.01157,17.43,6164,67750,784,153,0.1492,2.667,structures
27147,0.00946,30.81,16720,17760,168,66,0.2798,2.033,structures
27149,0.0005362,6.667,7426,3730,0,5,,0.03333,policies_lower_bound
27151,0.01359,61.11,20570,6917,94,6,0.03191,0.3667,structures
27153,0.03432,7.071,7751,12380,425,33,0.07529,0.2333,structures
27155,0.007661,150,9018,2219,0,22,,3.3,policies_lower_bound
27157,0.001939,55.73,30560,13930,0,64,,3.567,policies_lower_bound
27159,0.001608,15.38,5411,6220,0,13,,0.2,policies_lower_bound
27161,0.0001041,23.33,18530,9602,0,10,,0.2333,policies_lower_bound
27163,0.00643,46.83,14140,90210,580,247,0.2241,11.57,structures
27165,0.0002735,33.33,79880,7313,0,3,,0.1,policies_lower_bound
27167,0.06928,409.5,16050,3695,256,35,0.05859,14.33,structures
27169,0.003072,20.94,37730,21160,0,113,,2.367,policies_lower_bound
27171,0.001624,19.62,5920,54810,0,124,,2.433,policies_lower_bound
27173,0.0008148,333.3,10840,4909,0,11,,3.667,policies_lower_bound
28001,0.009114,32.32,37220,11630,106,33,0.1226,1.067,structures
28003,0.01283,18.08,22930,15200,195,59,0.08718,1.067,structures
28005,0.04106,25,12980,10810,444,4,0.004505,0.1,structures
28007,0.01734,26.67,15020,8016,139,20,0.1367,0.5333,structures
28009,0.01254,0,,4627,58,6,0.08621,0,structures
28011,0.1213,46.96,39930,15660,1899,384,0.1469,18.03,structures
28013,0.06038,22.22,34200,5979,361,33,0.08033,0.7333,structures
28015,0.01158,16.67,28110,4837,56,16,0.1964,0.2667,structures
28017,0.01305,7.407,5002,7434,97,9,0.06186,0.06667,structures
28019,0.02465,18.18,9558,3042,75,11,0.1067,0.2,structures
28021,0.04002,214.8,17800,3798,152,18,0.1053,3.867,structures
28023,0.06521,26.94,26210,6686,436,73,0.1422,1.967,structures
28025,0.06659,18.93,13570,7494,499,118,0.2265,2.233,structures
28027,0.02338,45.79,39170,8555,200,107,0.345,4.9,structures
28029,0.03556,12.5,14370,13100,466,40,0.06438,0.5,structures
28031,0.07953,12.35,26820,7645,608,54,0.07566,0.6667,structures
28033,0.01387,12.49,33740,59210,821,467,0.3423,5.833,structures
28035,0.07944,33.83,18310,25940,2061,469,0.1713,15.87,structures
28037,0.0374,22.22,30000,4385,164,6,0.03049,0.1333,structures
28039,0.06274,16.23,12740,10010,628,76,0.1035,1.233,structures
28041,0.1291,28.12,29250,7767,1003,32,0.03091,0.9,structures
28043,0.09589,16.13,11540,9229,885,155,0.165,2.5,structures
28045,0.3833,42.86,90270,20310,7785,6730,0.6378,288.4,structures
28047,0.1424,37.9,105600,73380,10450,10600,0.6249,401.8,structures
28049,0.09484,20.99,25890,81700,7748,2255,0.2468,47.33,structures
28051,0.05958,58.97,16160,6697,399,26,0.04762,1.533,structures
28053,0.1185,40.07,24060,3215,381,99,0.1549,3.967,structures
28055,0.6283,26.1,28990,791,497,83,0.1449,2.167,structures
28057,0.01404,6.25,25820,8478,119,16,0.05042,0.1,structures
28059,0.2505,31.01,80830,55750,13970,10400,0.5527,322.4,structures
28061,0.01096,11.11,13930,7753,85,21,0.1882,0.2333,structures
28063,0.01144,250,21520,3060,35,4,0,1,structures
28065,0.01558,6.667,1807,5392,84,5,0.03571,0.03333,structures
28067,0.05295,21.39,20280,24630,1304,187,0.09509,4,structures
28069,0.01371,0,,3647,50,2,0.04,0,structures
28071,0.02459,4.792,29800,21760,535,160,0.1327,0.7667,structures
28073,0.0145,44.75,18110,21450,311,251,0.4823,11.23,structures
28075,0.04773,10.83,18690,31450,1501,354,0.1865,3.833,structures
28077,0.05848,13.33,48640,5746,336,40,0.08929,0.5333,structures
28079,0.01525,12.12,86920,5771,88,22,0.1705,0.2667,structures
28081,0.03686,17.15,30420,30460,1123,241,0.1612,4.133,structures
28083,0.1604,8.838,25430,10320,1656,528,0.157,4.667,structures
28085,0.01262,12.38,6942,14580,184,35,0.163,0.4333,structures
28087,0.126,11.73,13840,23370,2945,594,0.1745,6.967,structures
28089,0.03781,15.44,22740,33830,1279,650,0.276,10.03,structures
28091,0.06991,41.84,18060,10780,754,141,0.1393,5.9,structures
28093,0.01268,9.091,33380,19800,251,22,0.05578,0.2,structures
28095,0.05647,8.593,18560,10820,611,225,0.3322,1.933,structures
