fips,karst_share,landslide_susceptible_share
08103,0.0113,0.857
08105,0,0.567
08107,0.00994,0.798
08109,0.00512,0.612
08111,0.0139,0.975
08113,0.00839,0.648
08115,0,0.109
08117,0.0438,0.926
08119,0.00762,0.898
08121,0,0.0522
08123,0,0.0879
08125,0.0729,0.191
09110,0,0.549
09120,0.0107,0.683
09130,0,0.667
09140,0.000912,0.671
09150,0,0.539
09160,0.103,0.718
09170,0,0.655
09180,0,0.576
09190,0.0791,0.691
10001,0,0.0472
10003,0.00444,0.281
10005,0,0.0389
11001,0.0113,0.51
12001,1,0.0485
12003,1,0.00567
12005,0.145,0.0473
12007,1,0.0178
12009,0.651,0.028
12011,0.994,0.0522
12013,0.589,0.0635
12015,0.938,0.0143
12017,0.959,0.0627
12019,0.964,0.0597
12021,0.96,0.0278
12023,1,0.0373
12027,0.999,0.0141
12029,0.993,0.0066
12031,0.8,0.0164
12033,0,0.167
12035,0.922,0.0183
12037,0.589,0.0168
12039,1,0.354
12041,1,0.0221
12043,1,0.0216
12045,0,0.0276
12047,1,0.131
12049,1,0.0287
12051,1,0.0159
12053,0.987,0.12
12055,1,0.0143
12057,0.99,0.0858
12059,1,0.0936
12061,0.923,0.00298
12063,1,0.0729
12065,0.999,0.0721
12067,1,0.0325
12069,0.998,0.0782
12071,0.856,0.0291
12073,1,0.127
12075,0.982,0.015
12077,0.947,0.0783
12079,1,0.0425
12081,0.941,0.0239
12083,1,0.0519
12085,0.957,0.0503
12086,0.975,0.00906
12087,0.723,0.0039
12089,0.87,0.0217
12091,0.72,0.17
12093,1,0.0139
12095,1,0.0231
12097,1,0.0155
12099,0.991,0.0461
12101,0.997,0.0379
12103,0.836,0.0101
12105,1,0.0699
12107,0.922,0.0503
12109,0.787,0.00982
12111,0.91,0.00728
12113,0.134,0.0925
12115,0.938,0.041
12117,1,0.0211
12119,1,0.0353
12121,1,0.0595
12123,0.995,0.0129
12125,1,0.0218
12127,0.876,0.035
12129,0.971,0.0227
12131,0.783,0.165
12133,0.972,0.17
13001,1,0.0316
13003,1,0.0108
13005,1,0.00982
13007,0.941,0.0215
13009,0.238,0.455
13011,0,0.816
13013,0,0.433
13015,0.638,0.578
13017,1,0.0379
13019,1,0.00905
13021,0.091,0.463
13023,0.972,0.0586
13025,1,0.0195
13027,1,0.0211
13029,0.533,0.0183
13031,1,0.0402
13033,0.991,0.139
13035,0,0.457
13037,0.406,0.055
13039,0.244,0.0279
13043,1,0.0433
13045,0,0.583
13047,0.655,0.572
13049,1,0.0169
13051,0.12,0.0167
13053,0,0.645
13055,0.611,0.648
13057,0.0106,0.83
13059,0,0.431
13061,0.00883,0.411
13063,0,0.367
13065,1,0.000293
13067,0,0.548
13069,1,0.0235
13071,1,0.0102
13073,0.161,0.441
13075,1,0.00976
13077,0,0.426
13079,0.0683,0.501
13081,0.931,0.0227
13083,0.387,0.758
13085,0,0.912
13087,0.986,0.0908
13089,0,0.749
13091,1,0.0568
13093,0.909,0.0412
13095,0.925,0.0173
13097,0,0.697
13099,0.804,0.0721
13101,1,0.00784
13103,0.997,0.0417
13105,0,0.551
13107,1,0.0523
13109,1,0.0789
13111,0,0.937
13113,0,0.27
13115,0.633,0.542
13117,0,0.813
13119,0,0.664
13121,0,0.799
13123,0.00268,0.956
13125,0.918,0.383
13127,0.0673,0.00459
13129,0.642,0.559
13131,1,0.138
13133,0,0.459
13135,0,0.552
13137,0,0.904
13139,0.0018,0.88
13141,0.0879,0.431
13143,0,0.771
13145,0,0.674
13147,0,0.442
13149,0,0.809
13151,0,0.359
13153,0.73,0.173
13155,1,0.0151
13157,0,0.491
13159,0,0.593
13161,1,0.0531
13163,1,0.138
13165,1,0.0611
13167,1,0.0666
13169,0.176,0.651
13171,0,0.442
13173,1,0.00928
13175,1,0.0719
13177,0.759,0.0425
13179,0.42,0.00377
13181,0,0.432
13183,0.952,0.0171
13185,1,0.0285
13187,0,0.96
13189,0.305,0.293
13191,0.0731,0.013
13193,0.353,0.221
13195,0,0.514
13197,0,0.53
13199,0,0.328
13201,1,0.000969
13205,0.957,0.037
13207,0,0.653
13209,1,0.0467
13211,0,0.367
13213,0.311,0.656
13215,0,0.55
13217,0,0.403
13219,0,0.425
13221,0,0.404
13223,0.00611,0.731
13225,0.598,0.263
13227,0.00835,0.921
13229,1,0.0047
13231,0,0.351
13233,0.681,0.614
13235,0.946,0.06
13237,0,0.496
13239,0.00484,0.585
13241,0,0.976
13243,0,0.303
13245,0.798,0.274
13247,0,0.469
13249,0.0116,0.417
13251,1,0.0598
13253,0.991,0.015
13255,0,0.283
13257,0,0.89
13259,0.0217,0.626
13261,0.0847,0.182
13263,0,0.705
13265,0,0.396
13267,1,0.0423
13269,0,0.34
13271,1,0.0488
13273,0.161,0.0533
13275,1,0.0534
13277,1,0.0161
13279,1,0.0643
13281,0,0.965
13283,1,0.0611
13285,0,0.509
13287,1,0.0351
13289,0.907,0.343
13291,0,0.956
13293,0,0.693
13295,0.651,0.724
13297,0,0.453
13299,1,0.013
13301,0.163,0.244
13303,0.973,0.256
13305,1,0.0263
13307,0.00544,0.256
13309,1,0.0505
13311,0,0.921
13313,0.731,0.59
13315,1,0.0326
13317,0,0.434
13319,0.916,0.357
13321,0.988,0.0279
15001,0,0.416
15003,0.0643,0.648
15005,0,0.663
15007,0.0141,0.727
15009,0.012,0.695
16001,0,0.213
16003,0.00339,0.865
16005,0.289,0.719
16007,0.454,0.731
16009,0,0.767
16011,0.0768,0.276
16013,0.146,0.583
16015,0,0.974
16017,0.00987,0.767
16019,0.158,0.621
16021,0,0.843
16023,0.217,0.373
16025,0.0179,0.678
16027,0,0.118
16029,0.252,0.659
16031,0.0784,0.444
16033,0.123,0.477
16035,0.000155,0.946
16037,0.146,0.854
16039,0,0.614
16041,0.381,0.724
16043,0.0938,0.378
16045,0,0.741
16047,0,0.197
16049,0.00645,0.93
16051,0,0.0601
16053,0,0.0884
16055,0,0.735
16057,0,0.844
16059,0.0979,0.863
16061,0.00886,0.543
16063,0,0.184
16065,0.0458,0.365
16067,0,0.0689
16069,0.0271,0.784
16071,0.428,0.614
16073,0.0001,0.358
16075,0,0.571
16077,0.181,0.476
16079,0.00073,0.98
16081,0.0771,0.509
16083,0.00561,0.238
16085,0.0128,0.909
16087,0,0.773
17001,0.233,0.4
17003,0.381,0.46
17005,0,0.237
17007,0.0918,0.0486
17009,0.31,0.605
17011,0,0.168
17013,0.581,0.686
17015,0.597,0.345
17017,0.00404,0.269
17019,0,0.034
17021,0,0.0593
17023,0,0.302
17025,0,0.166
17027,0,0.0901
17029,0,0.148
17031,0.251,0.0783
17033,0,0.17
17035,0,0.225
17037,0.00973,0.0265
17039,0,0.104
17041,0,0.0288
17043,0.109,0.0656
17045,0,0.11
17047,0,0.186
17049,0,0.253
17051,0,0.269
17053,0,0.0299
17055,0,0.119
17057,0.007,0.512
17059,0,0.194
17061,0.406,0.363
17063,0.0171,0.0985
17065,0,0.154
17067,0.514,0.296
17069,0.648,0.742
17071,0.222,0.278
17073,0.00933,0.233
17075,0.00207,0.0425
17077,0.0128,0.513
17079,0,0.163
17081,0,0.238
17083,0.462,0.477
17085,0.604,0.596
17087,0.235,0.513
17089,0.0522,0.101
17091,0.534,0.0441
17093,0.0778,0.0781
17095,0.00107,0.334
17097,0,0.197
17099,0.0259,0.112
17101,0,0.125
17103,0.163,0.0569
17105,0,0.031
17107,0,0.0627
17109,0.0518,0.237
17111,0,0.146
17113,0,0.0535
17115,0,0.0784
17117,0,0.313
17119,0.0516,0.336
17121,0,0.222
17123,0,0.199
17125,0.000682,0.081
17127,0.0974,0.314
17129,0,0.208
17131,0.00409,0.386
17133,0.597,0.433
17135,0,0.176
17137,0.00472,0.267
17139,0,0.0922
17141,0.624,0.135
17143,0,0.39
17145,0,0.296
17147,0,0.0385
17149,0.516,0.492
17151,0.237,0.553
17153,0.0909,0.359
17155,0,0.261
17157,0.216,0.393
17159,0,0.134
17161,0.298,0.489
17163,0.0543,0.253
17165,0.004,0.241
17167,0,0.117
17169,0.258,0.533
17171,0.333,0.408
17173,0,0.193
17175,0,0.162
17177,0.784,0.161
17179,0,0.204
17181,0.576,0.668
17183,0,0.115
17185,0,0.132
17187,0.0297,0.219
17189,0,0.161
17191,0,0.122
17193,0,0.161
17195,0.355,0.172
17197,0.462,0.128
17199,0,0.314
17201,0.577,0.131
17203,0,0.178
18001,0.225,0.036
18003,0.0522,0.112
18005,0.284,0.251
18007,0,0.0221
18009,0.0796,0.0542
18011,0,0.0621
18013,0,0.898
18015,0.156,0.135
