fips,population,building_value_usd,eal_valt,sovi_score,resl_score,crf_value,coastal,tsunami_zone
27145,158200,48330000000,78870000,24.14,96.18,0.9156,false,false
27147,37400,13830000000,21640000,10.62,98.22,0.5637,false,false
27149,9670,3936000000,6432000,10.62,94.53,0.6103,false,false
27151,9838,3342000000,8002000,49.68,94.69,1.105,false,false
27153,25250,8280000000,10690000,54.68,86.58,1.151,false,false
27155,3356,1493000000,3538000,33.97,45.9,1.011,false,false
27157,21380,9541000000,17520000,18.13,89.92,0.8612,false,false
27159,14050,3870000000,5136000,50.54,81.81,1.122,false,false
27161,18960,5215000000,8963000,31.46,94.4,0.9738,false,false
27163,267500,59900000000,92700000,10.62,97.14,0.5832,false,false
27165,11250,3730000000,7975000,41.7,56.9,1.066,false,false
27167,6501,2117000000,4731000,10.62,71.88,0.7014,false,false
27169,49580,15090000000,30530000,30.31,87.98,0.9677,false,false
27171,141300,33660000000,51220000,10.62,98.54,0.5578,false,false
27173,9528,3361000000,10470000,30.88,88.04,0.9725,false,false
28001,29470,5575000000,12540000,94.21,49.87,1.621,false,false
28003,34680,6909000000,18740000,72.23,28.18,1.364,false,false
28005,12710,3099000000,8872000,98.06,14.79,1.812,false,false
28007,17870,3442000000,7901000,80.09,33.65,1.448,false,false
28009,7620,1407000000,3725000,94.91,25.03,1.7,false,false
28011,30950,9278000000,22210000,98.7,45.83,1.721,false,false
28013,13240,2617000000,6575000,78.88,20.52,1.453,false,false
28015,9971,1841000000,5422000,86.99,30.66,1.552,false,false
28017,17020,4011000000,9623000,85.02,39.22,1.509,false,false
28019,8245,1429000000,3850000,76.65,35.88,1.407,false,false
28021,9127,2245000000,5457000,91.92,43.16,1.603,false,false
28023,15570,2877000000,9003000,68.1,28.44,1.321,false,false
28025,18620,3713000000,8817000,92.4,56.52,1.58,false,false
28027,21300,4370000000,14970000,94.82,74.46,1.589,false,false
28029,28350,5788000000,14530000,89.06,27.07,1.59,false,false
28031,18330,2970000000,10220000,94.31,22.2,1.693,false,false
28033,185300,34300000000,85920000,25.99,42.14,0.9466,false,false
28035,78050,15070000000,33290000,59.83,67.72,1.206,false,false
28037,7653,1606000000,4243000,93.26,42.11,1.624,false,false
28039,24250,4045000000,22050000,24.71,24.2,0.9407,true,false
28041,13480,2480000000,9418000,79.48,14.95,1.47,false,false
28043,21580,4358000000,11910000,96.15,68.1,1.615,false,false
28045,46020,9409000000,38220000,74.68,73.35,1.344,true,false
28047,208300,41900000000,154600000,68.86,66.19,1.29,true,false
28049,227500,44140000000,116800000,80.09,80.47,1.393,false,false
28051,16990,2823000000,9074000,98.85,10.66,1.855,false,false
28053,7693,1584000000,5498000,98.85,34.64,1.75,false,false
28055,1338,803400000,2884000,77.26,2.354,1.503,false,false
28057,23820,3350000000,11940000,77.13,42.62,1.404,false,false
28059,143100,25900000000,110900000,52.42,86.13,1.136,true,false
28061,16340,3408000000,7505000,94.08,24.11,1.682,false,false
28063,7245,1357000000,3238000,93.26,26.94,1.657,false,false
28065,11300,2172000000,4682000,98.54,23.16,1.787,false,false
28067,67170,16070000000,31490000,77.7,40.52,1.414,false,false
28069,8934,1395000000,4058000,86.04,33.08,1.534,false,false
28071,55740,11500000000,25590000,32.63,92.62,0.983,false,false
28073,64180,12560000000,21680000,55.63,55.5,1.177,false,false
28075,72840,18800000000,44670000,87.18,57.82,1.51,false,false
28077,12010,2705000000,6527000,67.62,6.584,1.351,false,false
28079,21240,4119000000,10910000,95.8,11.39,1.776,false,false
28081,83270,19070000000,37930000,62.12,63.8,1.23,false,false
28083,28280,6380000000,20040000,98.22,57.47,1.68,false,false
28085,34890,6139000000,10960000,82.57,34.32,1.478,false,false
28087,58840,13230000000,33640000,76.02,64.95,1.365,false,false
28089,108900,25040000000,54280000,22.46,92.65,0.9036,false,false
28091,24420,6068000000,15700000,74.87,17.97,1.411,false,false
28093,33480,8648000000,19390000,88.36,17.84,1.6,false,false
28095,34060,6607000000,19580000,84,54.07,1.469,false,false
28097,9775,1782000000,4064000,66.95,38.55,1.296,false,false
28099,29020,7050000000,14990000,76.27,37.88,1.398,false,false
28101,21250,3900000000,10750000,94.37,32.16,1.668,false,false
28103,10280,1974000000,5463000,99.43,22.74,1.811,false,false
28105,51640,10020000000,19180000,63.23,52.77,1.249,false,false
28107,33150,5271000000,17330000,94.53,22.96,1.696,false,false
28109,56090,9882000000,43850000,75.95,22.87,1.416,true,false
28111,11480,2478000000,5834000,64.73,30.38,1.282,false,false
28113,40280,8092000000,17720000,97.2,40.27,1.707,false,false
28115,31150,5808000000,12800000,68.29,27.89,1.324,false,false
28117,25000,4954000000,11960000,81.49,32.25,1.467,false,false
28119,6166,1094000000,4070000,98.63,26.15,1.778,false,false
28121,153300,27570000000,60190000,28.75,70.96,0.9618,false,false
28123,27920,5503000000,11630000,91.89,14.54,1.674,false,false
28125,3773,864100000,3833000,96.37,41.7,1.681,false,false
28127,25910,5108000000,12370000,76.34,36.67,1.401,false,false
28129,14180,4309000000,9779000,87.34,13.26,1.597,false,false
28131,18310,3329000000,12560000,76.78,31.93,1.413,false,false
28133,25920,5012000000,17930000,93.86,32.22,1.653,false,false
28135,12660,1858000000,7862000,90.74,12.25,1.657,false,false
28137,28020,4325000000,11370000,54.68,36.7,1.183,false,false
28139,21780,3820000000,10110000,77.99,28.59,1.433,false,false
28141,18810,3628000000,8518000,77.86,27.99,1.432,false,false
28143,9775,2334000000,7534000,94.18,69.78,1.587,false,false
28145,27720,5220000000,10500000,74.43,46.85,1.368,false,false
28147,13880,3099000000,7030000,62.82,16.89,1.275,false,false
28149,44650,11000000000,42520000,88.58,81.08,1.491,false,false
28151,44760,11270000000,30000000,99.05,44.59,1.732,false,false
28153,19730,3580000000,12900000,83.11,25.73,1.502,false,false
28155,9913,1899000000,3907000,81.68,46.02,1.452,false,false
28157,8585,1829000000,6169000,99.59,21.5,1.816,false,false
28159,17710,3188000000,7653000,96.66,39.41,1.694,false,false
28161,12460,2016000000,5452000,73.41,32.32,1.373,false,false
28163,26700,4334000000,18920000,91.19,20.26,1.638,false,false
29001,25280,5346000000,11390000,17.78,73.92,0.8625,false,false
29003,18080,4746000000,11380000,10.62,65.97,0.7123,false,false
29005,5305,1696000000,6899000,54.68,70.64,1.16,false,false
29007,24920,6426000000,13220000,72.9,75.35,1.326,false,false
29009,34450,9479000000,29930000,54.07,19.94,1.19,false,false
29011,11600,3404000000,11630000,60.31,33.02,1.238,false,false
29013,16010,3771000000,8781000,54.68,42.21,1.177,false,false
29015,19340,4585000000,16950000,89.22,24.4,1.598,false,false
