fips,events_per_customer_year,p_ge_1d,p_ge_3d,p_ge_7d,p_ge_14d,median_hours,p90_hours,years_covered,years_of_data,duration_basis,events_per_year,events,customers,customer_hours_per_customer_year,share_customer_hours_in_events,longest_event_hours
06103,3.176,0.08233,0.001668,0,0,3.25,18,2017-2025,7.667,county,43.17,331,28130,23.74,0.9488,200
06105,2.061,0.1134,0.0227,0.00575,0.003591,4.75,27.75,2017-2025,7.667,county,25.96,199,5483,27.31,0.9621,502.5
06107,0.2215,0.0299,0.00988,0,0,1.5,9.25,2014-2025,11.17,county,7.522,84,186900,4.242,0.2389,174.8
06109,7.093,0.1055,0.008288,0,0,3.5,25.25,2016-2025,8.083,county,58.52,473,23610,64.03,0.976,217.8
06111,0.9678,0.0297,0.000009613,0,0,2.25,10.5,2014-2025,11.17,county,19.52,218,317700,8.707,0.5006,104.8
06113,0.8202,0.05766,0.004882,0,0,1.75,17.75,2014-2025,9.083,county,17.39,158,101500,6.956,0.6769,110.5
06115,2.013,0.06301,0.000714,0,0,3,18,2017-2025,7.667,county,27.52,211,35930,16.5,0.8802,170.2
08001,0.3305,0.03589,0,0,0,1.5,7,2014-2025,10.75,county,13.4,144,243000,2.285,0.5184,68.25
08003,0.9871,0,0,0,0,1.5,3.75,2014-2025,10.42,county,14.02,146,9288,2.581,0.8157,26.25
08005,0.1955,0.03452,0,0,0,1.5,10.25,2014-2025,10.75,county,9.302,100,323100,2.064,0.3655,67
08007,1.512,0.03127,0,0,0,2.5,10,2016-2025,9.167,county,14.18,130,8482,7.87,0.8689,69.25
08009,0.04613,0,0,0,0,3,7.75,2017-2025,5.167,county,2.516,13,1586,0.2536,0.703,10.25
08011,0,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2022-2024,2.25,state,0,0,3294,0,0,0
08013,0.5025,0.09132,0.000003333,0,0,1.75,22.5,2014-2025,10.75,county,12.56,135,166600,4.494,0.7415,159.5
08014,0.7454,0,0,0,0,1.5,2.75,2014-2025,10.17,county,11.61,118,36180,1.75,0.767,27.25
08015,1.012,0,0,0,0,1.25,4.5,2014-2025,10.42,county,9.216,96,12340,2.619,0.7652,23.25
08017,3.113,0.01049,0.007734,0,0,1.5,3.75,2017-2025,8.5,county,21.29,181,1412,13.96,0.7334,141.5
08019,4.854,0.04284,0,0,0,2.5,8,2014-2025,10.42,county,41.38,431,4589,22.59,0.9422,126.2
08021,4.688,0.008296,0,0,0,2.25,7.75,2014-2025,10.75,county,18.79,202,3793,17.5,0.977,69.5
08023,2.528,0.0001636,0,0,0,2.75,7,2014-2025,10.42,county,11.52,120,2089,9.835,0.9509,50.75
08025,1.309,0.03148,0,0,0,1.75,4,2015-2025,8.667,county,5.308,46,2408,4.619,1.072,60.75
08027,0.7597,0,0,0,0,3,6.75,2015-2025,8.25,county,3.636,30,2930,2.814,0.9379,18.25
08029,0.9894,0.004342,0,0,0,1.75,3.25,2019-2025,6.417,county,12.78,82,12260,3.563,0.6057,74
08031,0.2981,0.03127,0,0,0,1.75,10.5,2014-2025,10.5,county,12.76,134,398900,2.762,0.4725,69
08033,0,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2019-2024,1.917,state,0,0,1373,0.01501,0,0
08035,0.1812,0.0147,0,0,0,1.5,3.25,2014-2025,10.58,county,9.449,100,157300,1.077,0.402,44.25
08037,0.4641,0.001084,0,0,0,1.25,3.75,2014-2025,10.67,county,9.469,101,43430,1.775,0.6056,43.5
08039,1.151,0,0,0,0,1.5,4,2016-2025,9.167,county,18.33,168,10110,3.27,0.7653,38.5
08041,0.0826,0.0421,0.007745,0,0,1.75,9.5,2014-2025,10.92,county,3.573,39,361700,1.051,0.382,101.8
08043,0.6199,0,0,0,0,2,3.25,2015-2025,10.33,county,6.677,69,19020,1.771,0.7817,35.25
08045,0.8449,0.003757,0,0,0,1.75,4,2014-2025,10.75,county,17.4,187,34900,2.894,0.6526,45.75
08047,1.482,0.001159,0.0006151,0,0,1.75,6.25,2015-2025,10,county,11.8,118,2853,4.725,0.8777,133.8
08049,0.04012,0.05699,0.01119,0,0,2,5.25,2017-2025,7.583,county,1.451,11,19090,0.9545,0.2091,85.75
08051,0.09007,0,0,0,0,2.25,4,2014-2025,9.583,county,4.591,44,14730,0.5443,0.4089,14
08053,0.3425,0.03315,0.03112,0,0,3.5,12.5,2016-2025,5.583,county,5.373,30,773,2.531,0.958,80.75
08055,0,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2022-2024,1.417,state,0,0,2877,0,0,0
08057,2.74,0.05999,0.02951,0.01098,0.01075,2.25,8.5,2017-2020,3.167,county,31.58,100,1554,28.54,0.9809,774.5
08059,0.4614,0.1089,0,0,0,2,25.5,2014-2025,10.42,county,17.76,185,278200,5.024,0.6367,109.2
08061,0,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2022-2024,3,state,0,0,1342,0,0,0
08063,1.755,0.01649,0.01465,0,0,1.75,4.75,2017-2025,8.5,county,16.94,144,3818,11.29,0.6834,141.5
08065,1.485,0.001073,0,0,0,2.25,6,2014-2025,8.5,county,12,102,3471,5.254,0.9034,70.75
08067,0.9121,0.006196,0,0,0,2,7,2016-2025,9.167,county,15.71,144,36990,3.465,0.8093,52
08069,0.1639,0.0495,0,0,0,2.75,18.75,2014-2025,10.75,county,5.767,62,154700,1.723,0.603,52
08071,0,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2022-2024,2.25,state,0,0,6631,0,0,0
08073,0.9308,0.009622,0.006522,0,0,1.75,6.75,2016-2025,9.167,county,12.22,112,3630,3.562,0.8379,173.2
08075,1.467,0,0,0,0,1.5,4.5,2014-2025,10.42,county,12.48,130,7985,3.757,0.8728,31.75
08077,0.5032,0,0,0,0,1.75,4,2014-2025,10.5,county,12.29,129,78540,1.883,0.5733,34.5
08079,0.3203,0.02395,0.02395,0,0,2.75,7.5,2017-2025,5.917,county,6.592,39,793,2.195,0.866,113.2
08081,0.8501,0,0,0,0,1.5,4.75,2019-2025,7,county,11.86,83,9049,2.693,0.6621,19.5
08083,0,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2018-2025,2.25,state,0,0,14150,0.003964,0,0
08085,0.5176,0,0,0,0,1.25,3.75,2019-2025,6.667,county,8.85,59,24970,1.605,0.5935,15.5
08087,0.4404,0,0,0,0,1.75,10.75,2014-2025,10.33,county,8.129,84,14500,1.745,0.8745,46.25
08089,0.6218,0.003084,0.001347,0,0,1.5,8.75,2015-2025,9.75,county,5.026,49,7594,1.953,1.035,82.25
08091,0,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2020-2025,3.333,state,0,0,4326,0.02431,0,0
08093,2.728,0.03975,0.0003021,0,0,2.75,14.5,2014-2025,10.42,county,26.69,278,7688,15.63,0.9383,103.5
08097,1.065,0.0003282,0,0,0,1.75,4,2014-2025,10.08,county,14.28,144,12770,3.994,0.7509,60.25
08099,0,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2022-2024,2.917,state,0,0,4507,0,0,0
08101,0.4775,0.006182,0,0,0,1.5,5,2015-2025,10.42,county,8.064,84,67090,1.784,0.6316,40
08103,0.0179,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,2017-2025,6.333,state,0.7895,5,5566,0.3485,0.1656,7
08105,0.9268,0,0,0,0,2,5.75,2014-2025,10.42,county,9.12,95,7555,2.906,0.8414,19
08107,0.6477,0.008561,0,0,0,1.75,4.25,2019-2025,6.083,county,18.25,111,18530,3.171,0.5096,27.25
08109,0.4387,0,0,0,0,2.75,6.25,2014-2025,9.583,county,6.783,65,3260,1.657,0.9137,16
