zip,place,zip_land_share
02540,2581245,0.038
02543,2581245,0.152
02553,2542670,1
02554,2537735,0.05
02554,2543755,0.146
02556,2547730,0.98
02556,2575960,0.02
02557,2550425,0.516
02558,2551160,0.704
02559,2542670,0.085
02559,2554450,0.676
02561,2558965,1
02562,2558965,0.73
02563,2520380,0.044
02563,2524190,0.033
02563,2559700,0.275
02564,2561940,0.35
02568,2550425,0.011
02568,2571970,0.102
02571,2573020,0.086
02571,2578410,0.024
02571,2578850,0.068
02576,2578410,0.35
02601,2503690,1
02630,2503690,1
02631,2507945,0.176
02632,2503690,1
02633,2512960,0.305
02633,2575505,0.339
02635,2503690,1
02637,2503690,1
02638,2516740,0.833
02638,2518840,0.167
02639,2516810,0.985
02639,2575820,0.015
02641,2518840,1
02642,2547590,0.246
02644,2524190,1
02645,2519400,0.474
02645,2529055,0.125
02645,2529090,0.029
02645,2549700,0.333
02646,2529055,0.045
02646,2529090,0.74
02646,2549700,0.215
02647,2503690,1
02648,2503690,1
02649,2539152,0.054
02649,2545500,0.103
02649,2555070,0.013
02649,2560505,0.015
02653,2551405,0.192
02655,2503690,1
02657,2555535,0.185
02660,2516740,0.026
02660,2516810,0.033
02660,2518840,0.267
02660,2563655,0.543
02660,2575820,0.131
02664,2566035,0.799
02668,2503690,1
02670,2575820,1
02671,2549700,0.996
02672,2503690,1
02673,2566035,0.148
02673,2578795,0.721
02675,2503690,0.099
02675,2582595,0.687
02703,2502690,1
02717,2523000,0.204
02718,2569170,1
02720,2523000,1
02721,2523000,1
02723,2523000,1
02724,2523000,1
02725,2562465,1
02726,2562465,1
02738,2538575,0.073
02739,2539485,0.282
02740,2545000,1
02743,2500530,0.078
02744,2545000,1
02745,2545000,0.962
02746,2545000,1
02747,2523000,0.08
02747,2545000,0.016
02747,2562300,0.114
02748,2506170,0.079
02760,2546598,1
02763,2546598,1
02766,2550005,0.061
02767,2556095,0.17
02767,2569170,0.133
02771,2549200,0.076
02777,2550880,0.029
02780,2569170,1
02790,2523000,0.088
02790,2549710,0.096
02804,4403520,0.201
02804,4435200,0.182
02808,4408020,0.164
02812,4412340,0.379
02813,4412340,0.026
02813,4414320,0.05
02813,4460260,0.037
02814,4414860,0.127
02814,4433040,0.053
02815,4415940,0.164
02818,4474300,0.229
02823,4419180,0.862
02825,4415940,0.023
02825,4427640,0.039
02827,4431240,0.283
02828,4431600,0.818
02829,4433040,1
02830,4433400,0.04
02830,4454460,0.017
02831,4419180,0.133
02832,4434660,0.132
02833,4435200,0.304
02840,4449960,1
02841,4449960,1
02842,4445010,0.066
02842,4450140,0.459
02859,4454460,0.171
02860,4422960,0.04
02860,4454640,0.958
02861,4454640,0.995
02863,4414140,1
02864,4420260,0.12
02864,4472500,0.134
02871,4445010,0.065
02878,4470700,0.144
02879,4414320,0.011
02879,4438980,0.017
02879,4473132,0.125
02881,4438980,0.268
02882,4448700,0.269
02886,4474300,1
02888,4474300,1
02889,4474300,1
02891,4408020,0.022
02891,4446000,0.045
02891,4475200,0.031
02891,4475920,0.044
02891,4476820,0.602
02895,4480780,0.998
02898,4480960,0.072
02903,4459000,1
02904,4459000,0.389
02905,4419180,0.357
02905,4459000,0.642
02906,4459000,1
02907,4419180,0.033
02907,4459000,0.967
02908,4459000,0.992
02909,4459000,0.996
02910,4419180,0.972
02910,4459000,0.028
02911,4459000,0.021
02912,4459000,1
02914,4422960,1
02915,4422960,1
02916,4422960,1
02917,4431600,0.093
02918,4459000,1
02920,4419180,1
02921,4419180,1
03031,3301220,0.021
03038,3317860,0.446
03042,3324580,0.165
03043,3327060,0.031
03045,3329780,0.088
03045,3361220,0.026
03048,3331860,0.121
03051,3337860,0.109
03053,3343140,0.293
03054,3321780,0.104
03055,3347940,0.224
03055,3385140,0.026
03060,3350260,1
03062,3350260,1
03063,3350260,1
03064,3350260,1
03070,3340120,0.079
03070,3350660,0.012
03077,3363940,0.225
03086,3385140,0.051
03101,3345140,1
03102,3345140,0.865
03102,3361220,0.079
03103,3345140,0.972
03104,3345140,0.995
03106,3337220,0.15
03106,3371220,0.186
03109,3345140,1
03217,3301940,0.119
03220,3304660,0.042
03221,3306900,0.016
03222,3307620,0.056
03227,3310900,0.011
03229,3314340,0.053
03235,3327380,0.919
03242,3335460,0.032
03244,3336020,0.024
03246,3340180,0.998
03251,3341780,0.041
03253,3347060,0.078
03254,3374780,0.019
03256,3351460,0.035
03257,3352020,0.047
03262,3357220,0.028
03263,3361860,0.069
03264,3362580,0.161
03275,3375140,0.086
03276,3377100,0.08
03278,3378500,0.013
03301,3314200,1
03303,3314200,0.217
03307,3343300,0.038
03431,3339300,0.619
03440,3301620,0.145
03442,3304820,0.038
03446,3383700,0.058
03449,3333620,0.01
03451,3336580,0.113
03452,3338420,0.089
03455,3345380,0.071
03458,3360500,0.089
03465,3377300,0.073
03470,3385460,0.034
03561,3342500,0.169
03570,3305140,0.446
03574,3305380,0.018
03576,3313700,0.016
03581,3330180,0.011
03582,3332260,0.025
03584,3340340,0.048
03585,3341940,0.043
03597,3383620,0.014
03598,3384340,0.026
03603,3311300,0.022
03608,3378340,0.036
03609,3356420,0.773
03740,3349600,0.021
03743,3312900,0.73
03748,3324260,0.055
03755,3333780,0.155
03766,3341300,1
03773,3352500,0.15
03774,3354740,0.137
03781,3362260,0.012
03784,3341300,1
03785,3349600,0.043
03785,3387140,0.03
03801,3362900,0.659
03809,3300980,0.011
03812,3303620,0.025
03813,3314580,0.013
03814,3310820,0.03
03818,3314580,0.052
03820,3318820,0.979
03824,3319620,0.135
03833,3325300,0.093
03835,3325940,0.17
03839,3365140,1
03842,3332980,0.426
03842,3333140,0.1
03847,3353860,0.814
03850,3346980,0.557
03851,3348580,0.031
03852,3348740,0.128
03856,3351300,0.054
03857,3352260,0.179
03860,3314580,0.059
03860,3353860,0.26
03867,3365140,1
03868,3365140,1
03872,3367460,0.031
03874,3368340,0.117
03878,3369940,0.998
03887,3377780,0.017
03894,3386340,0.166
03901,2304685,0.042
03903,2370660,0.364
03904,2337235,0.256
03905,2337375,0.277
03906,2350290,0.088
03908,2369995,0.086
03909,2310320,0.104
03909,2388160,0.081
03910,2310320,1
03911,2388160,1
04002,2300695,0.059
04005,2304860,0.626
04006,2304860,1
04008,2306330,0.097
04009,2307135,0.125
04011,2308395,0.416
04015,2311090,0.105
04019,2360545,1
04020,2314450,0.137
04021,2315500,0.206
04032,2326490,0.049
04037,2326875,0.037
04038,2328205,0.151
04038,2340350,0.023
04039,2328835,0.072
04043,2336500,0.192
04043,2383330,0.099
04046,2336710,0.067
04048,2337795,0.111
04055,2348050,0.081
04057,2307135,1
04061,2337795,0.11
04062,2353685,0.144
04062,2372900,0.026
04063,2355120,1
04064,2355120,1
04068,2336885,0.011
04072,2364675,1
04073,2365725,1
04074,2318965,0.066
04074,2354490,0.118
04083,2365725,1
04084,2373635,0.061
04085,2373985,0.661
04086,2376925,0.343
04092,2382105,1
04096,2314800,0.079
04096,2340470,0.025
04096,2387810,0.391
04101,2360545,1
04102,2360545,1
04103,2360545,1
04105,2324480,0.082
04105,2324530,0.052
04106,2371990,0.991
04108,2360545,1
04109,2360545,1
04210,2302060,1
04224,2317705,0.024
04236,2329220,0.08
04239,2312770,0.045
04240,2338740,1
04250,2340000,0.294
04252,2340105,0.331
04254,2340735,0.061
04256,2344620,0.486
04257,2345250,0.076
04268,2353965,0.112
04270,2356240,0.105
04276,2364255,0.115
04280,2364535,0.017
04281,2371780,0.095
04282,2377765,0.025
04294,2385815,0.077
04330,2302100,0.472
04344,2324635,0.211
04345,2327085,0.208
04346,2361735,1
04347,2330550,1
04357,2362610,0.234
04359,2327085,1
04364,2386935,0.178
04401,2302795,0.342
04401,2378815,0.03
04411,2306645,0.041
04412,2306925,1
04415,2308360,1
04416,2308780,0.197
04421,2311230,0.198
04424,2316375,0.025
04426,2318230,0.07
04430,2321065,0.16
04443,2330060,0.013
04444,2330760,0.159
04448,2334225,0.079
04457,2339440,0.029
04459,2344235,0.037
04461,2345635,0.073
04463,2345985,0.054
04468,2355225,0.314
04469,2355575,1
04473,2355575,0.357
04489,2355225,1
04491,2378640,0.022
04496,2386725,0.163
04530,2303355,0.317
04538,2306085,0.187
04543,2316200,0.278
04553,2348610,0.075
04572,2379515,0.075
04578,2387040,0.117
04605,2323200,0.299
04609,2302830,0.075
04614,2305665,0.075
04619,2309585,1
04631,2321730,1
